Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.25662264,599.0,-25.885714411735535,-25.885714411735535,1.0
2000,1.4189383,-0.3158545,599.0,-21.79649806022644,-21.79649806022644,1.0
3000,1.4194914,-0.4606831,599.0,-14.938213884830475,-14.938213884830475,1.0
4000,1.419504,-0.5503991,599.0,-19.255806773900986,-19.255806773900986,1.0
5000,1.419513,-0.73052466,599.0,-20.448942124843597,-20.448942124843597,1.0
6000,1.4195125,-0.80798024,599.0,-13.458407640457153,-13.458407640457153,1.0
7000,1.4193739,-1.079955,599.0,-20.744508147239685,-20.744508147239685,1.0
8000,1.4193289,-1.0933056,599.0,-28.53668785095215,-28.53668785095215,1.0
9000,1.4192628,-1.2328553,599.0,-18.30011785030365,-18.30011785030365,1.0
10000,1.419237,-1.5881381,303.0,-8.379951179027557,-8.379951179027557,1.0
11000,1.4192986,-1.6901469,599.0,-17.90164515376091,-17.90164515376091,1.0
12000,1.419337,-1.6545185,599.0,-3.964399755001068,-3.964399755001068,1.0
13000,1.41933,-1.9687666,599.0,-17.78228050470352,-17.78228050470352,1.0
14000,1.419323,-1.4814012,599.0,-14.845963269472122,-14.845963269472122,1.0
15000,1.41928,-1.6782727,599.0,-24.79890275001526,-24.79890275001526,1.0
16000,1.4192004,-1.7731935,599.0,-13.930858999490738,-13.930858999490738,1.0
17000,1.4191148,-1.7677009,599.0,-7.161485321819782,-7.161485321819782,1.0
18000,1.4189515,-1.415868,599.0,-6.774688303470612,-6.774688303470612,1.0
19000,1.4188724,-2.085534,599.0,-9.820044726133347,-9.820044726133347,1.0
20000,1.4185827,-2.0727363,599.0,-12.064588710665703,-12.064588710665703,1.0
21000,1.4185721,-1.9244502,599.0,-19.460140466690063,-19.460140466690063,1.0
22000,1.4184533,-2.1966865,599.0,-10.19140249490738,-10.19140249490738,1.0
23000,1.4184593,-1.9265591,310.0,1.362834244966507,1.362834244966507,1.0
24000,1.4185048,-2.1927845,437.0,-6.582388401031494,-6.582388401031494,1.0
25000,1.4185047,-2.028099,599.0,-12.61220908164978,-12.61220908164978,1.0
26000,1.418379,-1.6619668,531.5,-6.2300156354904175,-6.2300156354904175,1.0
27000,1.4183768,-1.442897,482.5,-4.630843415856361,-4.630843415856361,1.0
28000,1.418236,-1.8797134,599.0,-30.458421230316162,-30.458421230316162,1.0
29000,1.4182128,-1.9883215,514.5,-4.731898307800293,-4.731898307800293,1.0
30000,1.4181736,-1.4831803,599.0,-13.605987712740898,-13.605987712740898,1.0
31000,1.4181612,-0.9193118,599.0,-16.679048664867878,-16.679048664867878,1.0
32000,1.4181093,-2.3231182,540.5,-10.57563465833664,-10.57563465833664,1.0
33000,1.4180886,-1.3049512,599.0,-4.498296216130257,-4.498296216130257,1.0
34000,1.4180181,-0.9396591,599.0,-12.492545142769814,-12.492545142769814,1.0
35000,1.417944,-1.861248,599.0,-6.345807462930679,-6.345807462930679,1.0
36000,1.4179302,-1.8420873,599.0,-13.552528142929077,-13.552528142929077,1.0
37000,1.4179151,-1.6647961,459.6666666666667,-4.986536875367165,-4.986536875367165,1.0
38000,1.4178877,-1.2253413,304.0,-0.5244414359331131,-0.5244414359331131,1.0
39000,1.4178488,-1.0951524,338.0,2.2205325414737067,2.2205325414737067,1.0
40000,1.4178073,-1.4898973,503.0,-7.773876488208771,-7.773876488208771,1.0
41000,1.4177221,-1.5310652,374.0,-4.778622031211853,-4.778622031211853,1.0
42000,1.4176948,-0.93516845,403.0,7.502103328704834,7.502103328704834,1.0
43000,1.4175833,-1.5555658,459.5,-6.408626079559326,-6.408626079559326,1.0
44000,1.4175725,-0.7442264,525.0,11.969701707363129,11.969701707363129,1.0
45000,1.4174861,-1.6062438,599.0,-5.533592484891415,-5.533592484891415,1.0
46000,1.417486,-1.427364,512.5,-7.241362988948822,-7.241362988948822,1.0
47000,1.4174513,-0.9570885,481.6666666666667,1.7294130325317383,1.7294130325317383,1.0
48000,1.4174507,-1.1365813,432.0,5.093038598696391,5.093038598696391,1.0
49000,1.4174402,-1.4146276,599.0,-12.58866035938263,-12.58866035938263,1.0
50000,1.4174386,-0.9297841,371.0,0.8769150376319885,0.8769150376319885,1.0
