Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,0.08531122,599.0,-6.961779594421387,-6.961779594421387,1.0
2000,1.4189383,-0.0068049505,599.0,-17.508865416049957,-17.508865416049957,1.0
3000,1.4193298,-0.27917856,599.0,-36.44632530212402,-36.44632530212402,1.0
4000,1.419312,-0.16477005,599.0,-21.89468204975128,-21.89468204975128,1.0
5000,1.4201174,-0.4761045,448.0,-12.754032015800476,-12.754032015800476,1.0
6000,1.4201515,-0.45355245,599.0,-11.356404721736908,-11.356404721736908,1.0
7000,1.4193301,-0.31789225,542.5,-3.4654760360717773,-3.4654760360717773,1.0
8000,1.41914,0.025224531,599.0,-17.613135296851397,-17.613135296851397,1.0
9000,1.4179151,-0.3808494,599.0,-5.687880754470825,-5.687880754470825,1.0
10000,1.4173834,-0.39337718,599.0,-5.749887064099312,-5.749887064099312,1.0
11000,1.4165024,-0.42732492,599.0,-24.99886429309845,-24.99886429309845,1.0
12000,1.4157345,-0.37185156,599.0,4.993586182594299,4.993586182594299,1.0
13000,1.4149382,-0.34976947,371.6666666666667,-5.31145778298378,-5.31145778298378,1.0
14000,1.4141196,-0.3352265,599.0,-14.818062499165535,-14.818062499165535,1.0
15000,1.4136086,-0.30825838,599.0,0.01942002773284912,0.01942002773284912,1.0
16000,1.4126909,-0.29821795,422.6666666666667,-3.026707092920939,-3.026707092920939,1.0
17000,1.4126499,-0.034658395,323.75,8.723955750465393,8.723955750465393,1.0
18000,1.4125947,-0.33833626,362.0,5.948748797178268,5.948748797178268,1.0
19000,1.4122714,-0.2118415,459.0,5.6305027306079865,5.6305027306079865,1.0
20000,1.410937,-0.37126744,599.0,-4.927240699529648,-4.927240699529648,1.0
21000,1.4108822,-0.4264904,599.0,4.274892568588257,4.274892568588257,1.0
22000,1.4104062,0.112933725,271.4,7.434451165795326,7.434451165795326,1.0
23000,1.4104062,-0.33728075,437.0,2.0596983581781387,2.0596983581781387,1.0
24000,1.4099604,0.15369467,229.25,10.359820872545242,10.359820872545242,1.0
25000,1.40995,-0.11070087,236.75,5.822548581287265,5.822548581287265,1.0
26000,1.4094088,0.42435613,233.66666666666666,12.115663224458695,12.115663224458695,1.0
27000,1.4093133,0.4536038,235.33333333333334,15.175624549388885,15.175624549388885,1.0
28000,1.4074662,0.1407683,303.0,6.953086011111736,6.953086011111736,1.0
29000,1.4067763,1.158829,120.375,12.576471388339996,12.576471388339996,1.0
30000,1.4056039,0.61379063,176.0,11.040653988718987,11.040653988718987,1.0
31000,1.405173,0.8915106,135.0,9.689550144331795,9.689550144331795,1.0
32000,1.40429,1.1738942,134.875,10.43456222329821,10.43456222329821,1.0
33000,1.4038275,1.1920092,137.28571428571428,10.696057745388575,10.696057745388575,1.0
34000,1.4032173,1.5540522,88.0,11.016398213126443,11.016398213126443,1.0
35000,1.402691,1.4994746,126.33333333333333,12.325776722282171,12.325776722282171,1.0
36000,1.4024943,1.972509,124.57142857142857,14.104691624641418,14.104691624641418,1.0
37000,1.4022268,1.3859797,209.4,11.943591630458831,11.943591630458831,1.0
38000,1.4020172,1.6077561,155.0,13.105460772911707,13.105460772911707,1.0
39000,1.4014436,2.1924136,99.4,12.52135682106018,12.52135682106018,1.0
40000,1.4014012,1.9791267,121.5,12.421980500221252,12.421980500221252,1.0
41000,1.4009438,2.394981,97.2,12.387979698181152,12.387979698181152,1.0
42000,1.4009436,2.3781645,110.44444444444444,12.436010943518745,12.436010943518745,1.0
43000,1.4007416,2.6727917,120.33333333333333,12.716097407870823,12.716097407870823,1.0
44000,1.4007337,3.2012062,90.18181818181819,12.51068943197077,12.51068943197077,1.0
45000,1.4004599,3.5756853,91.4,13.15177116394043,13.15177116394043,1.0
46000,1.4004494,3.6561847,93.63636363636364,14.245641925118186,14.245641925118186,1.0
47000,1.4002336,3.838782,79.45454545454545,11.320416371027628,11.320416371027628,1.0
48000,1.4001852,4.05825,80.15384615384616,12.209513624509176,12.209513624509176,1.0
49000,1.4000975,3.8942347,71.23076923076923,10.585696867534093,10.585696867534093,1.0
50000,1.4000548,4.1955633,85.36363636363636,11.080920089374889,11.080920089374889,1.0
