Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.3950648,599.0,-17.73178005218506,-17.73178005218506,1.0
2000,1.4189383,-0.26989073,599.0,-20.851487934589386,-20.851487934589386,1.0
3000,1.4182192,-0.45444518,599.0,-13.314701318740845,-13.314701318740845,1.0
4000,1.418201,-0.35106894,599.0,-15.208340886980295,-15.208340886980295,1.0
5000,1.4174116,-0.4817738,599.0,-17.18497943878174,-17.18497943878174,1.0
6000,1.4173998,-0.48044622,599.0,-24.4166941344738,-24.4166941344738,1.0
7000,1.4168897,-0.6888637,443.0,-13.118942340215048,-13.118942340215048,1.0
8000,1.4167082,-0.76226354,511.0,-11.287227898836136,-11.287227898836136,1.0
9000,1.4163245,-0.8352236,599.0,-16.62030017375946,-16.62030017375946,1.0
10000,1.4160615,-0.95460576,599.0,-18.93421733379364,-18.93421733379364,1.0
11000,1.4156972,-0.889267,599.0,-9.87604609131813,-9.87604609131813,1.0
12000,1.4153061,-0.48958826,599.0,-24.135313987731934,-24.135313987731934,1.0
13000,1.4152433,-0.6688275,599.0,-18.123782575130463,-18.123782575130463,1.0
14000,1.415162,-0.8745129,599.0,-11.510686099529266,-11.510686099529266,1.0
15000,1.4151409,-0.74185216,599.0,-14.677783727645874,-14.677783727645874,1.0
16000,1.4150753,-0.7527202,599.0,-17.428930521011353,-17.428930521011353,1.0
17000,1.4150249,-0.8709122,599.0,-10.822881877422333,-10.822881877422333,1.0
18000,1.4148343,-0.79160714,599.0,-12.893439531326294,-12.893439531326294,1.0
19000,1.4148226,-0.94506955,472.3333333333333,-8.72337512175242,-8.72337512175242,1.0
20000,1.4147261,-1.0228682,599.0,-13.303754031658173,-13.303754031658173,1.0
21000,1.4146942,-1.1658058,599.0,-18.170296281576157,-18.170296281576157,1.0
22000,1.4144113,-1.1775584,599.0,-13.503229022026062,-13.503229022026062,1.0
23000,1.4144114,-0.72556484,599.0,-8.908533453941345,-8.908533453941345,1.0
24000,1.4137598,-0.9546299,599.0,-9.364448189735413,-9.364448189735413,1.0
25000,1.4137528,-0.774283,566.5,-4.206300236284733,-4.206300236284733,1.0
26000,1.4133723,-1.048471,599.0,-4.708955407142639,-4.708955407142639,1.0
27000,1.4133669,-0.9667548,599.0,-9.598418429493904,-9.598418429493904,1.0
28000,1.41288,-1.1776831,599.0,-6.485786974430084,-6.485786974430084,1.0
29000,1.4128053,-0.9797019,564.5,-0.5734649375081062,-0.5734649375081062,1.0
30000,1.4124266,-0.94966614,599.0,-8.246230632066727,-8.246230632066727,1.0
31000,1.4123646,-0.85826284,599.0,-9.603375285863876,-9.603375285863876,1.0
32000,1.4121444,-0.92963386,410.0,2.9038960933685303,2.9038960933685303,1.0
33000,1.4120507,-0.72725326,208.5,4.404659628868103,4.404659628868103,1.0
34000,1.4120373,-1.1881535,599.0,-3.849259853363037,-3.849259853363037,1.0
35000,1.4120333,-0.68728596,370.5,0.9981984496116638,0.9981984496116638,1.0
36000,1.4119781,-1.02148,384.3333333333333,0.3007325927416484,0.3007325927416484,1.0
37000,1.4119283,-0.49621665,367.5,4.2064178213477135,4.2064178213477135,1.0
38000,1.4119374,-0.61204064,375.6666666666667,2.729175249735514,2.729175249735514,1.0
39000,1.4119505,-0.9288101,283.6666666666667,5.897671744227409,5.897671744227409,1.0
40000,1.4119883,-0.39985925,355.25,3.6142629782358804,3.6142629782358804,1.0
41000,1.412058,-0.6952426,599.0,3.1096905320882797,3.1096905320882797,1.0
42000,1.4120492,-0.85848504,551.0,0.4372592270374298,0.4372592270374298,1.0
43000,1.4120214,0.008913159,352.3333333333333,2.3171544273694358,2.3171544273694358,1.0
44000,1.4120193,-0.5070277,393.6666666666667,10.4685680270195,10.4685680270195,1.0
45000,1.4119924,-0.5102266,302.0,2.9657019078731537,2.9657019078731537,1.0
46000,1.4119923,-0.31389457,461.5,4.992568656802177,4.992568656802177,1.0
47000,1.4120377,-0.13123833,239.0,6.034465928872426,6.034465928872426,1.0
48000,1.4120387,-0.33699018,512.0,9.960983246564865,9.960983246564865,1.0
49000,1.412005,0.17144518,262.0,3.4231685370206835,3.4231685370206835,1.0
50000,1.4120017,-0.15965132,346.0,-1.8918616473674774,-1.8918616473674774,1.0
