Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.053237543,599.0,-14.778388381004333,-14.778388381004333,1.0
2000,1.4189383,-0.017026424,599.0,-28.82111966609955,-28.82111966609955,1.0
3000,1.4189383,-0.04241395,599.0,-22.816828727722168,-22.816828727722168,1.0
4000,1.4189384,-0.12826224,445.0,-17.31848688920339,-17.31848688920339,1.0
5000,1.4189384,-0.06881788,599.0,-21.508938312530518,-21.508938312530518,1.0
6000,1.4189385,-0.27056277,599.0,-22.328967094421387,-22.328967094421387,1.0
7000,1.4189383,-0.1422914,599.0,-23.132349908351898,-23.132349908351898,1.0
8000,1.4189384,-0.16016781,599.0,-14.159521102905273,-14.159521102905273,1.0
9000,1.4188774,-0.33978626,599.0,-11.053750872612,-11.053750872612,1.0
10000,1.4188722,-0.52144617,599.0,-23.69222354888916,-23.69222354888916,1.0
11000,1.4188722,-0.5063885,429.0,-7.22279492020607,-7.22279492020607,1.0
12000,1.418872,-0.4887053,599.0,-13.685647308826447,-13.685647308826447,1.0
13000,1.4188721,-0.46504706,599.0,-18.36050593852997,-18.36050593852997,1.0
14000,1.4188721,-0.4669581,599.0,-16.98035216331482,-16.98035216331482,1.0
15000,1.418872,-0.46528298,599.0,-14.133988589048386,-14.133988589048386,1.0
16000,1.4188722,-0.40781718,599.0,-18.009249687194824,-18.009249687194824,1.0
17000,1.418873,-0.7162483,599.0,-18.052530497312546,-18.052530497312546,1.0
18000,1.418873,-0.64797026,599.0,-19.083325654268265,-19.083325654268265,1.0
19000,1.418873,-0.69791746,599.0,-13.689992308616638,-13.689992308616638,1.0
20000,1.418873,-0.649239,599.0,-16.65528640151024,-16.65528640151024,1.0
21000,1.4188731,-0.70265496,599.0,-16.014802396297455,-16.014802396297455,1.0
22000,1.418873,-0.7588477,599.0,-17.147972106933594,-17.147972106933594,1.0
23000,1.418873,-0.6197579,458.0,-8.391022404034933,-8.391022404034933,1.0
24000,1.418873,-0.704437,599.0,-6.745762825012207,-6.745762825012207,1.0
25000,1.4187794,-0.8095367,599.0,-13.320314794778824,-13.320314794778824,1.0
26000,1.4187515,-0.9772223,599.0,-14.235867857933044,-14.235867857933044,1.0
27000,1.4187515,-0.9681167,599.0,-19.797308087348938,-19.797308087348938,1.0
28000,1.4187516,-0.9680109,599.0,-15.966370329260826,-15.966370329260826,1.0
29000,1.4187515,-0.98533237,599.0,-15.398458078503609,-15.398458078503609,1.0
30000,1.4187515,-0.8981314,599.0,-19.394919112324715,-19.394919112324715,1.0
31000,1.4187516,-0.9750136,599.0,-20.436536878347397,-20.436536878347397,1.0
32000,1.4187514,-0.8870722,599.0,-12.985688880085945,-12.985688880085945,1.0
33000,1.4186884,-1.1170468,599.0,-19.043294668197632,-19.043294668197632,1.0
34000,1.4186628,-1.1256212,599.0,-12.203614562749863,-12.203614562749863,1.0
35000,1.4186629,-1.1563265,599.0,-17.883937507867813,-17.883937507867813,1.0
36000,1.4186629,-1.1159658,599.0,-20.434769868850708,-20.434769868850708,1.0
37000,1.4186628,-1.1587133,599.0,-16.67303755879402,-16.67303755879402,1.0
38000,1.4186628,-1.1459944,599.0,-19.834524750709534,-19.834524750709534,1.0
39000,1.4186629,-1.0554442,599.0,-15.80914044380188,-15.80914044380188,1.0
40000,1.4186628,-1.0604101,599.0,-8.75875036418438,-8.75875036418438,1.0
41000,1.4186398,-1.1608781,599.0,-16.221450746059418,-16.221450746059418,1.0
42000,1.4186251,-1.2627656,599.0,-11.781413584947586,-11.781413584947586,1.0
43000,1.4186252,-1.2372104,599.0,-11.139882780611515,-11.139882780611515,1.0
44000,1.418625,-1.2428389,599.0,-16.84699335694313,-16.84699335694313,1.0
45000,1.4186251,-1.3239149,599.0,-16.68303155899048,-16.68303155899048,1.0
46000,1.4186252,-1.2747864,599.0,-15.1646888256073,-15.1646888256073,1.0
47000,1.418625,-1.2084103,599.0,-17.305454455316067,-17.305454455316067,1.0
48000,1.4186251,-1.2806809,599.0,-13.578344583511353,-13.578344583511353,1.0
49000,1.4186227,-1.2737166,599.0,-15.528946161270142,-15.528946161270142,1.0
50000,1.4186208,-1.3364038,599.0,-11.490629404783249,-11.490629404783249,1.0
