Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.1211144,599.0,-19.056623458862305,-19.056623458862305,1.0
2000,1.4189383,-0.22219954,599.0,-16.46847802400589,-16.46847802400589,1.0
3000,1.4194775,-0.022873372,599.0,-14.210241317749023,-14.210241317749023,1.0
4000,1.4195013,-0.19801915,599.0,-12.514116078615189,-12.514116078615189,1.0
5000,1.4193914,-0.42540264,599.0,-17.67450389266014,-17.67450389266014,1.0
6000,1.4193177,-0.50163233,599.0,-13.673223793506622,-13.673223793506622,1.0
7000,1.4166166,-0.513845,599.0,-22.150311172008514,-22.150311172008514,1.0
8000,1.4152658,-0.80272603,599.0,-15.30423429608345,-15.30423429608345,1.0
9000,1.415052,-0.68791103,599.0,-24.67330026626587,-24.67330026626587,1.0
10000,1.4148617,-0.6261463,599.0,0.3253217712044716,0.3253217712044716,1.0
11000,1.4152402,-0.7351983,499.0,-3.409832328557968,-3.409832328557968,1.0
12000,1.4154936,-0.81577873,599.0,-24.963777989149094,-24.963777989149094,1.0
13000,1.4156862,-0.78641,599.0,1.260764241218567,1.260764241218567,1.0
14000,1.4163727,-0.79288876,427.0,-8.064980328083038,-8.064980328083038,1.0
15000,1.4156559,-0.73767495,599.0,-7.9895713329315186,-7.9895713329315186,1.0
16000,1.4145337,-1.0346313,480.0,-6.699187636375427,-6.699187636375427,1.0
17000,1.4140972,-0.7089491,599.0,-5.370143830776215,-5.370143830776215,1.0
18000,1.41217,-0.85320055,599.0,-0.916109561920166,-0.916109561920166,1.0
19000,1.4123427,-0.8647709,599.0,13.391129851341248,13.391129851341248,1.0
20000,1.4136907,-0.6055645,227.5,3.5583059549331666,3.5583059549331666,1.0
21000,1.4133973,-0.6812186,599.0,3.2963426262140274,3.2963426262140274,1.0
22000,1.4106998,-0.37996253,388.0,3.7358243068059287,3.7358243068059287,1.0
23000,1.4106998,-0.47668055,348.3333333333333,10.070616006851196,10.070616006851196,1.0
24000,1.4072134,-0.7433061,373.3333333333333,4.744103064139684,4.744103064139684,1.0
25000,1.406883,-0.43313324,357.0,6.2699501514434814,6.2699501514434814,1.0
26000,1.4061794,-0.2887396,279.6,10.984769439697265,10.984769439697265,1.0
27000,1.4060233,-0.07750629,385.5,13.210712432861328,13.210712432861328,1.0
28000,1.4054047,-0.107177466,238.4,9.35665500164032,9.35665500164032,1.0
29000,1.4051533,0.22145759,208.4,14.474982675164938,14.474982675164938,1.0
30000,1.4042894,0.1750875,209.25,13.020802944898605,13.020802944898605,1.0
31000,1.4036006,0.18845317,187.5,8.877388385434946,8.877388385434946,1.0
32000,1.4031268,0.53557855,167.66666666666666,12.806205789248148,12.806205789248148,1.0
33000,1.4028339,0.801767,174.4,12.04294044971466,12.04294044971466,1.0
34000,1.4021604,0.71031326,200.0,13.069559097290039,13.069559097290039,1.0
35000,1.4010025,0.7357117,175.71428571428572,15.303967307011286,15.303967307011286,1.0
36000,1.4004914,1.0199405,143.0,12.980894906180245,12.980894906180245,1.0
37000,1.399636,0.94083893,146.66666666666666,12.478342135747274,12.478342135747274,1.0
38000,1.3996508,0.8861338,128.28571428571428,11.250515654683113,11.250515654683113,1.0
39000,1.3996506,1.3054425,174.83333333333334,12.4923744002978,12.4923744002978,1.0
40000,1.3995645,1.1941906,137.28571428571428,12.39156266621181,12.39156266621181,1.0
41000,1.3987713,1.2448548,165.83333333333334,10.885756889979044,10.885756889979044,1.0
42000,1.3987143,1.4514904,107.8,10.071311897701687,10.071311897701687,1.0
43000,1.3981102,1.7088562,112.0,12.602549446953667,12.602549446953667,1.0
44000,1.3981103,1.7582537,82.33333333333333,9.759556452433268,9.759556452433268,1.0
45000,1.3971556,2.0306165,122.875,11.7066350877285,11.7066350877285,1.0
46000,1.397051,1.9717617,109.66666666666667,12.995469623141819,12.995469623141819,1.0
47000,1.3965334,2.362003,80.46153846153847,10.95592502447275,10.95592502447275,1.0
48000,1.3964387,2.263557,82.63636363636364,10.55822922966697,10.55822922966697,1.0
49000,1.3962907,2.0513601,109.77777777777777,10.64998902214898,10.64998902214898,1.0
50000,1.3962357,1.967046,94.0,11.18733380057595,11.18733380057595,1.0
