Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,0.038920328,599.0,-30.105331420898438,-30.105331420898438,1.0
2000,1.4189383,-0.013138529,599.0,-14.786494940519333,-14.786494940519333,1.0
3000,1.4167829,-0.18812482,428.0,-5.5559559762477875,-5.5559559762477875,1.0
4000,1.4166242,-0.5504583,599.0,-19.26865553855896,-19.26865553855896,1.0
5000,1.4178046,-0.603063,408.3333333333333,-5.679796655972798,-5.679796655972798,1.0
6000,1.4180726,-0.17297515,599.0,-17.862258553504944,-17.862258553504944,1.0
7000,1.4163853,-0.40178505,599.0,-9.572901129722595,-9.572901129722595,1.0
8000,1.415259,-0.2813019,599.0,-5.339791268110275,-5.339791268110275,1.0
9000,1.4142842,-0.44549978,599.0,-5.266077429056168,-5.266077429056168,1.0
10000,1.4132926,-0.5210293,599.0,-15.47343984246254,-15.47343984246254,1.0
11000,1.4129212,-0.66070044,429.3333333333333,-17.81716737151146,-17.81716737151146,1.0
12000,1.4124204,-0.5361823,538.5,5.07492995262146,5.07492995262146,1.0
13000,1.412118,-0.6357203,402.0,-7.120955626169841,-7.120955626169841,1.0
14000,1.411065,-0.60430175,599.0,-5.78974837064743,-5.78974837064743,1.0
15000,1.4104257,-0.64072806,599.0,-11.913893938064575,-11.913893938064575,1.0
16000,1.4071101,-0.7735947,599.0,-6.846542835235596,-6.846542835235596,1.0
17000,1.4071362,-0.42801753,486.5,-5.271868124604225,-5.271868124604225,1.0
18000,1.4075034,-0.32184085,430.5,2.3715570718050003,2.3715570718050003,1.0
19000,1.4075032,-0.16420811,498.0,2.336212832480669,2.336212832480669,1.0
20000,1.4068329,-0.23153235,449.5,-0.711763396859169,-0.711763396859169,1.0
21000,1.4067439,-0.28867966,388.3333333333333,1.7162964244683583,1.7162964244683583,1.0
22000,1.4053953,-0.24263032,373.5,7.958001613616943,7.958001613616943,1.0
23000,1.4049728,-0.52390397,263.0,4.716930225491524,4.716930225491524,1.0
24000,1.4037915,-0.26596043,339.3333333333333,6.236260364452998,6.236260364452998,1.0
25000,1.403124,-0.12923847,343.5,13.21577243010203,13.21577243010203,1.0
26000,1.4017818,0.1083444,219.66666666666666,9.632847741246223,9.632847741246223,1.0
27000,1.4006747,0.16480269,229.0,7.523895435035229,7.523895435035229,1.0
28000,1.4000554,0.6155425,199.83333333333334,13.063398742675782,13.063398742675782,1.0
29000,1.3994807,0.47426715,152.0,7.773437428474426,7.773437428474426,1.0
30000,1.3992772,-0.06299214,376.6666666666667,9.709610829750696,9.709610829750696,1.0
31000,1.3988183,0.32869422,241.4,9.439380717277526,9.439380717277526,1.0
32000,1.3981109,0.42226723,299.3333333333333,12.026496410369873,12.026496410369873,1.0
33000,1.3964921,0.38750696,155.71428571428572,9.4122124931642,9.4122124931642,1.0
34000,1.3961029,0.83886164,113.77777777777777,8.374666444957256,8.374666444957256,1.0
35000,1.3941252,0.9166114,106.0,8.135135793685913,8.135135793685913,1.0
36000,1.3939837,0.7820917,168.66666666666666,12.28318158785502,12.28318158785502,1.0
37000,1.3927232,1.2927562,104.0,9.994627899593777,9.994627899593777,1.0
38000,1.3926265,0.58134586,200.2,8.324231046438218,8.324231046438218,1.0
39000,1.3915331,0.9133443,182.4,10.481084605058035,10.481084605058035,1.0
40000,1.391533,1.0592088,162.5,10.326879794398943,10.326879794398943,1.0
41000,1.3913854,1.3511711,133.33333333333334,10.4952392578125,10.4952392578125,1.0
42000,1.3913667,1.241345,113.72727272727273,8.439005768299102,8.439005768299102,1.0
43000,1.3912286,1.6265138,112.85714285714286,11.605052590370178,11.605052590370178,1.0
44000,1.3911859,1.5852162,121.11111111111111,8.724169823858473,8.724169823858473,1.0
45000,1.39105,1.5149413,113.7,9.375033431582981,9.375033431582981,1.0
46000,1.3909537,1.8434321,93.72727272727273,10.619851675900547,10.619851675900547,1.0
47000,1.3907171,1.8480711,99.44444444444444,10.19129376411438,10.19129376411438,1.0
48000,1.3905332,1.8560046,101.9,10.14250628153483,10.14250628153483,1.0
49000,1.3904622,2.0511708,87.2,9.415865594690496,9.415865594690496,1.0
50000,1.3903716,1.9749851,89.63636363636364,8.621479597958652,8.621479597958652,1.0
