Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
35000,-1.4026442,14.5957985,68.54545454545455,8.76297714561224,8.76297714561224,0.19058158,-14.443006,0.06637006,0.06608239,0.001978548,0.00029999996,1.0
36000,-1.4082499,14.317455,69.85714285714286,9.889729074069432,9.889729074069432,0.1780146,-14.099319,0.06113172,0.06109478,0.0018948256,0.00029999996,1.0
37000,-1.3993076,14.170047,68.83333333333333,9.33081604884221,9.33081604884221,0.1704078,-13.797096,0.058809746,0.05767684,0.0018502645,0.00029999999,1.0
38000,-1.4202504,13.980693,59.642857142857146,8.72091939383083,8.72091939383083,0.16801839,-13.335841,0.05859903,0.05785944,0.0017054422,0.00029999996,1.0
39000,-1.4903321,13.783047,35.333333333333336,9.335161164402962,9.335161164402962,0.15889554,-12.928344,0.05606066,0.055787303,0.0016001633,0.00029999996,1.0
40000,-1.4270597,13.038946,49.35294117647059,8.369535684585571,8.369535684585571,0.16802512,-12.643925,0.05983754,0.060728222,0.0015620604,0.00029999996,1.0
41000,-1.4897914,12.469421,48.64705882352941,9.138774156570435,9.138774156570435,0.16460063,-12.417914,0.0586754,0.061102007,0.0015184871,0.00029999996,1.0
42000,-1.4832289,12.555,61.5,9.750376198026869,9.750376198026869,0.16553828,-12.150945,0.060200363,0.060486477,0.0015235515,0.00029999996,1.0
43000,-1.4039927,12.018706,54.43333333333333,9.018676665094164,9.018676665094164,0.1488831,-11.775777,0.05306732,0.051685356,0.0015432178,0.00029999996,1.0
44000,-1.33247,11.576498,42.529411764705884,9.31108486024957,9.31108486024957,0.13696222,-11.46472,0.047642995,0.046381336,0.0015673119,0.00029999999,1.0
45000,-1.3921754,11.141487,52.1875,9.361886274246942,9.361886274246942,0.14145204,-11.266582,0.04990672,0.048996136,0.001646987,0.00029999996,1.0
46000,-1.3358551,11.169982,60.06666666666667,10.266943348778618,10.266943348778618,0.13583504,-11.063879,0.047142893,0.046880208,0.0016745436,0.00029999999,1.0
47000,-1.3680402,10.859946,47.34375,9.882569953014976,9.882569953014976,0.13177235,-10.732123,0.046232563,0.04592315,0.0016438321,0.00029999999,1.0
48000,-1.3872317,10.860796,52.46666666666667,10.234440477270828,10.234440477270828,0.122959115,-10.428836,0.042848576,0.04150715,0.0016297097,0.00029999999,1.0
49000,-1.4845092,10.832108,54.13333333333333,11.258337868584526,11.258337868584526,0.1170145,-10.244282,0.04078247,0.039978165,0.0016085268,0.00029999996,1.0
50000,-1.3939502,10.036515,55.42857142857143,9.322161043945112,9.322161043945112,0.114942946,-10.075709,0.039378285,0.039019935,0.0016230848,0.00029999999,1.0
