Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.6144787,599.0,-12.617062330245972,-12.617062330245972,1.0
2000,1.4189383,-0.6387081,599.0,-17.583533942699432,-17.583533942699432,1.0
3000,1.4206185,-0.90476245,599.0,-12.971323132514954,-12.971323132514954,1.0
4000,1.4208543,-0.869334,599.0,-14.555761218070984,-14.555761218070984,1.0
5000,1.4208971,-1.139234,599.0,-26.428644061088562,-26.428644061088562,1.0
6000,1.4208914,-1.1092262,599.0,-7.533152386546135,-7.533152386546135,1.0
7000,1.4219015,-1.1431874,599.0,-17.40801838040352,-17.40801838040352,1.0
8000,1.4223073,-1.1756107,599.0,-18.33981940150261,-18.33981940150261,1.0
9000,1.4204931,-1.3530765,599.0,-26.24213880300522,-26.24213880300522,1.0
10000,1.4196242,-1.1206063,599.0,-18.021505177021027,-18.021505177021027,1.0
11000,1.417796,-1.2323664,599.0,-13.78429600596428,-13.78429600596428,1.0
12000,1.416488,-1.3215826,599.0,-5.876870572566986,-5.876870572566986,1.0
13000,1.4167837,-1.0548885,599.0,-8.147266209125519,-8.147266209125519,1.0
14000,1.4171482,-0.82118094,599.0,-13.214616537094116,-13.214616537094116,1.0
15000,1.4168108,-1.1662937,599.0,-3.877756893634796,-3.877756893634796,1.0
16000,1.416072,-0.8639911,304.5,7.160828351974487,7.160828351974487,1.0
17000,1.4154356,-0.8453203,294.8,2.742080084979534,2.742080084979534,1.0
18000,1.4141678,-0.4247605,413.0,11.083015084266663,11.083015084266663,1.0
19000,1.4135703,-0.20474616,348.6666666666667,8.215939790010452,8.215939790010452,1.0
20000,1.4118412,-0.94018257,599.0,3.837224006652832,3.837224006652832,1.0
21000,1.4113396,-0.67788446,379.0,4.665162978072961,4.665162978072961,1.0
22000,1.4088862,-0.98928934,420.0,3.428554137547811,3.428554137547811,1.0
23000,1.4088862,-0.22195898,315.3333333333333,10.926619172096252,10.926619172096252,1.0
24000,1.4055213,-0.091888554,222.8,8.041124472022057,8.041124472022057,1.0
25000,1.4053987,-0.18542548,183.6,12.257964062690736,12.257964062690736,1.0
26000,1.4035859,0.6951698,186.66666666666666,12.641862154006958,12.641862154006958,1.0
27000,1.4034542,0.14092895,321.0,13.885642608006796,13.885642608006796,1.0
28000,1.4028848,0.27330285,308.3333333333333,16.317800760269165,16.317800760269165,1.0
29000,1.4027804,0.62240607,229.8,15.138921737670898,15.138921737670898,1.0
30000,1.4020654,0.9362219,98.125,10.195185515615675,10.195185515615675,1.0
31000,1.4019011,0.9522833,187.83333333333334,13.301940870285033,13.301940870285033,1.0
32000,1.3999174,0.6292476,185.0,16.516314697265624,16.516314697265624,1.0
33000,1.3990792,1.1282405,156.5,12.004468185561043,12.004468185561043,1.0
34000,1.3988597,0.9111855,137.42857142857142,11.851395513862371,11.851395513862371,1.0
35000,1.3987643,1.2959889,130.625,14.787136963435582,14.787136963435582,1.0
36000,1.3983133,2.0626323,100.88888888888889,12.67064390182495,12.67064390182495,1.0
37000,1.3979504,1.3570899,110.66666666666667,13.38531748453776,13.38531748453776,1.0
38000,1.3974065,1.8239137,122.5,12.883691787719727,12.883691787719727,1.0
39000,1.3969458,2.4153454,148.85714285714286,18.43261496225993,18.43261496225993,1.0
40000,1.3965226,2.1857252,85.81818181818181,11.934870282808939,11.934870282808939,1.0
41000,1.3958205,2.063833,90.58333333333333,11.290446324781938,11.290446324781938,1.0
42000,1.3957717,2.5485172,105.55555555555556,15.221746709611681,15.221746709611681,1.0
43000,1.395645,2.5630858,92.5,12.640476703643799,12.640476703643799,1.0
44000,1.3955486,2.9776933,95.0909090909091,13.803160285949707,13.803160285949707,1.0
45000,1.3947499,2.5847046,112.55555555555556,15.05733389324612,15.05733389324612,1.0
46000,1.3946794,3.282118,84.33333333333333,14.557548443476358,14.557548443476358,1.0
47000,1.394067,3.514108,79.23076923076923,12.98507991203895,12.98507991203895,1.0
48000,1.3940524,2.7582943,98.2,14.425204610824585,14.425204610824585,1.0
49000,1.3938379,2.801128,94.1,14.062368535995484,14.062368535995484,1.0
50000,1.3938377,3.5671153,84.5,13.882272958755493,13.882272958755493,1.0
