Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,0.17099997,599.0,-19.891738533973694,-19.891738533973694,1.0
2000,1.4189383,0.2728585,599.0,-15.282037496566772,-15.282037496566772,1.0
3000,1.4174764,0.020239793,599.0,-25.205890655517578,-25.205890655517578,1.0
4000,1.4173392,-0.06091364,599.0,-23.557492971420288,-23.557492971420288,1.0
5000,1.4203125,-0.11516431,599.0,-18.160503447055817,-18.160503447055817,1.0
6000,1.4205054,-0.32466033,599.0,-29.87521457672119,-29.87521457672119,1.0
7000,1.4201305,-0.1463431,599.0,-18.532780557870865,-18.532780557870865,1.0
8000,1.4199466,-0.5692536,599.0,-16.193959653377533,-16.193959653377533,1.0
9000,1.4189676,-0.4026295,505.5,-9.738055229187012,-9.738055229187012,1.0
10000,1.4184706,-0.53398967,494.0,-8.637184828519821,-8.637184828519821,1.0
11000,1.4168255,-0.4841861,599.0,-8.126718580722809,-8.126718580722809,1.0
12000,1.4156057,-0.52451754,322.6666666666667,-3.876926090568304,-3.876926090568304,1.0
13000,1.414777,-0.30607852,599.0,1.9417646378278732,1.9417646378278732,1.0
14000,1.4140998,-0.4884806,599.0,-2.786073885858059,-2.786073885858059,1.0
15000,1.4134842,-0.35832998,599.0,-5.47294095158577,-5.47294095158577,1.0
16000,1.4124851,-0.56191224,473.5,4.79222971200943,4.79222971200943,1.0
17000,1.411689,-0.58041453,188.5,8.403406310081483,8.403406310081483,1.0
18000,1.4098128,-0.45901993,333.5,5.2204717099666595,5.2204717099666595,1.0
19000,1.40957,-0.6360589,371.3333333333333,2.557219703992208,2.557219703992208,1.0
20000,1.4090246,-0.30330735,385.3333333333333,-1.1754085570573807,-1.1754085570573807,1.0
21000,1.408994,-0.09915325,225.75,12.48125400543213,12.48125400543213,1.0
22000,1.4087679,0.18625216,220.0,9.895782381296158,9.895782381296158,1.0
23000,1.4087679,0.115734614,236.66666666666666,10.406221115589142,10.406221115589142,1.0
24000,1.4066843,0.23851736,235.0,9.935568577051162,9.935568577051162,1.0
25000,1.4065171,0.25393218,222.5,10.513616859912872,10.513616859912872,1.0
26000,1.4033506,0.2651789,213.6,12.142815232276917,12.142815232276917,1.0
27000,1.4031264,0.5211529,249.75,9.362313821911812,9.362313821911812,1.0
28000,1.4020694,1.4760827,91.9090909090909,11.229594447396018,11.229594447396018,1.0
29000,1.401774,0.8536616,105.1,8.270015144348145,8.270015144348145,1.0
30000,1.4005413,1.0353955,149.14285714285714,12.269932826360067,12.269932826360067,1.0
31000,1.4000518,0.53735214,237.25,8.55265112221241,8.55265112221241,1.0
32000,1.3994792,1.322988,117.25,10.739237229029337,10.739237229029337,1.0
33000,1.399044,1.8636247,111.2,12.387335724300808,12.387335724300808,1.0
34000,1.3988835,2.2261813,104.0,12.308073494169447,12.308073494169447,1.0
35000,1.3987197,2.2587986,126.75,12.038354337215424,12.038354337215424,1.0
36000,1.398637,2.0980616,107.28571428571429,12.882215857505798,12.882215857505798,1.0
37000,1.3985081,1.9530569,96.23076923076923,10.720819354057312,10.720819354057312,1.0
38000,1.3984764,1.9133058,165.4,12.278984487056732,12.278984487056732,1.0
39000,1.3983766,2.9692342,134.125,13.621535807847977,13.621535807847977,1.0
40000,1.3982419,2.1892524,188.6,11.282716464996337,11.282716464996337,1.0
41000,1.3978999,2.3611233,111.33333333333333,11.381202154689365,11.381202154689365,1.0
42000,1.3978449,3.344769,74.85714285714286,11.65432621882512,11.65432621882512,1.0
43000,1.3973051,3.0832803,81.75,11.375905434290567,11.375905434290567,1.0
44000,1.3972905,2.9698184,103.4,12.11721842288971,12.11721842288971,1.0
45000,1.3971112,1.9539504,255.75,12.553934216499329,12.553934216499329,1.0
46000,1.3971113,2.907774,76.41666666666667,10.216327587763468,10.216327587763468,1.0
47000,1.396853,3.3733256,71.14285714285714,10.904468400137764,10.904468400137764,1.0
48000,1.3968213,2.389482,122.5,11.53225752711296,11.53225752711296,1.0
49000,1.3967352,3.5216873,113.77777777777777,12.189962691730923,12.189962691730923,1.0
50000,1.3967177,4.1335554,76.61538461538461,12.482123815096342,12.482123815096342,1.0
