Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.11866574,599.0,-15.797110378742218,-15.797110378742218,1.0
2000,1.4189383,-0.017588677,599.0,-18.985706090927124,-18.985706090927124,1.0
3000,1.418594,-0.3667457,599.0,-21.028534650802612,-21.028534650802612,1.0
4000,1.4185834,-0.24125941,599.0,-24.863544762134552,-24.863544762134552,1.0
5000,1.4191148,-0.4666669,448.3333333333333,-11.647008101145426,-11.647008101145426,1.0
6000,1.419133,-0.533731,599.0,-20.549638032913208,-20.549638032913208,1.0
7000,1.4206955,-0.52560914,299.2,-5.62853679060936,-5.62853679060936,1.0
8000,1.4210047,-0.5506668,490.5,-6.260739952325821,-6.260739952325821,1.0
9000,1.4211727,-0.86382765,599.0,-4.6788142919540405,-4.6788142919540405,1.0
10000,1.4212228,-0.9932563,502.0,-10.238433822989464,-10.238433822989464,1.0
11000,1.4213607,-0.6636682,599.0,-14.349071517586708,-14.349071517586708,1.0
12000,1.4214448,-0.77793074,599.0,-22.39628767967224,-22.39628767967224,1.0
13000,1.4219319,-0.6127453,599.0,-17.567337334156036,-17.567337334156036,1.0
14000,1.4222863,-0.6608765,484.0,-5.687856212258339,-5.687856212258339,1.0
15000,1.4213569,-0.99306834,425.0,2.240589529275894,2.240589529275894,1.0
16000,1.4205588,-1.0239894,322.25,-1.2736563757061958,-1.2736563757061958,1.0
17000,1.4201494,-0.9121441,592.5,-3.0750315189361572,-3.0750315189361572,1.0
18000,1.4197845,-0.81488526,599.0,-8.33327454328537,-8.33327454328537,1.0
19000,1.4192153,-0.6273539,392.0,7.630756576855977,7.630756576855977,1.0
20000,1.4180952,-1.191906,599.0,-12.841349840164185,-12.841349840164185,1.0
21000,1.417928,-0.43356395,500.0,5.23530787229538,5.23530787229538,1.0
22000,1.417385,-0.45364803,295.0,9.389859239260355,9.389859239260355,1.0
23000,1.4173287,-0.9798814,310.0,1.7542444864908855,1.7542444864908855,1.0
24000,1.4167346,-0.87362903,466.5,2.1221986152231693,2.1221986152231693,1.0
25000,1.4166691,-0.17079163,413.0,13.539933860301971,13.539933860301971,1.0
26000,1.4159472,-0.20646052,259.5,10.277074058850607,10.277074058850607,1.0
27000,1.4159473,-0.27527076,398.5,8.137550051013628,8.137550051013628,1.0
28000,1.4150143,0.39346567,277.5,9.860505446791649,9.860505446791649,1.0
29000,1.4149811,0.87408125,133.5,11.369901316506523,11.369901316506523,1.0
30000,1.4143062,1.0642555,228.0,17.504772472381593,17.504772472381593,1.0
31000,1.4141778,-0.33191046,358.3333333333333,-1.0697962939739227,-1.0697962939739227,1.0
32000,1.4135575,0.7338548,149.2,12.437547643979391,12.437547643979391,1.0
33000,1.413347,0.3805067,186.0,11.14143055677414,11.14143055677414,1.0
34000,1.412775,1.3373066,166.0,15.339314262072245,15.339314262072245,1.0
35000,1.4125252,1.3890071,141.375,14.986779826028007,14.986779826028007,1.0
36000,1.4114141,0.99373823,151.71428571428572,11.209516678537641,11.209516678537641,1.0
37000,1.4107132,1.2877332,132.57142857142858,12.012506306171417,12.012506306171417,1.0
38000,1.410549,1.6838002,145.66666666666666,14.78925541469029,14.78925541469029,1.0
39000,1.4103576,1.3580036,140.125,13.593976293291364,13.593976293291364,1.0
40000,1.4102423,1.3789124,114.44444444444444,11.31753200954861,11.31753200954861,1.0
41000,1.4100189,2.1366842,106.55555555555556,11.687090582317776,11.687090582317776,1.0
42000,1.4099616,1.6907916,161.66666666666666,14.015594681104025,14.015594681104025,1.0
43000,1.4096154,1.5220369,96.54545454545455,9.927174264734441,9.927174264734441,1.0
44000,1.4095985,2.0132196,116.5,11.857578039169312,11.857578039169312,1.0
45000,1.4092947,1.8780651,141.0,10.285433615956988,10.285433615956988,1.0
46000,1.4092833,2.6775103,108.9,13.111616468429565,13.111616468429565,1.0
47000,1.4091462,3.115389,113.75,13.785855174064636,13.785855174064636,1.0
48000,1.4091461,2.6783514,100.0,11.63672239780426,11.63672239780426,1.0
49000,1.4090906,3.5517952,88.45454545454545,12.441421595486728,12.441421595486728,1.0
50000,1.4090883,3.5123665,89.81818181818181,12.681990796869451,12.681990796869451,1.0
