Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,0.07506936,599.0,-16.652558088302612,-16.652558088302612,1.0
2000,1.4189383,0.13667434,599.0,-10.911285258829594,-10.911285258829594,1.0
3000,1.4168414,-0.2281036,599.0,-19.404832363128662,-19.404832363128662,1.0
4000,1.4160898,-0.22834757,534.0,-4.1472384333610535,-4.1472384333610535,1.0
5000,1.4140987,-0.3655653,599.0,-14.442399054765701,-14.442399054765701,1.0
6000,1.4132869,-0.4668151,599.0,-23.25210116803646,-23.25210116803646,1.0
7000,1.4108751,-0.5088282,455.5,-4.30121086537838,-4.30121086537838,1.0
8000,1.409765,-0.52943796,599.0,-15.921717554330826,-15.921717554330826,1.0
9000,1.4099674,-0.50715613,599.0,-12.790443517267704,-12.790443517267704,1.0
10000,1.4098357,-0.39839253,599.0,-8.583244353532791,-8.583244353532791,1.0
11000,1.4089488,-0.42915413,395.5,-2.379200041294098,-2.379200041294098,1.0
12000,1.4077842,-0.69771284,464.0,-11.50927709043026,-11.50927709043026,1.0
13000,1.406859,-0.5457982,436.0,10.387884895006815,10.387884895006815,1.0
14000,1.4044038,-0.5555657,599.0,-6.625783681869507,-6.625783681869507,1.0
15000,1.4052525,-0.48035032,328.5,2.193237781524658,2.193237781524658,1.0
16000,1.4062195,-0.26428965,583.0,10.164464429020882,10.164464429020882,1.0
17000,1.4050907,-0.6958411,317.3333333333333,8.100932836532593,8.100932836532593,1.0
18000,1.4019165,-0.5528655,261.6666666666667,6.574612349271774,6.574612349271774,1.0
19000,1.4018986,-0.22192103,439.3333333333333,-5.825498342514038,-5.825498342514038,1.0
20000,1.4019355,0.013349301,286.0,11.11897998303175,11.11897998303175,1.0
21000,1.4008867,-0.21678706,175.14285714285714,11.674920916557312,11.674920916557312,1.0
22000,1.3979605,-0.1427245,272.0,7.060359561443329,7.060359561443329,1.0
23000,1.3974972,0.039632104,309.8,9.083345105250677,9.083345105250677,1.0
24000,1.3951565,-0.08336708,319.0,9.640784874558449,9.640784874558449,1.0
25000,1.3951566,-0.24365869,223.2,10.316789887845516,10.316789887845516,1.0
26000,1.3955016,0.42015728,93.1,8.777246621522037,8.777246621522037,1.0
27000,1.395708,0.32565352,148.85714285714286,10.989259640375773,10.989259640375773,1.0
28000,1.3950361,1.1107339,139.71428571428572,14.006178438663483,14.006178438663483,1.0
29000,1.3948576,0.76457685,143.85714285714286,10.544286926587423,10.544286926587423,1.0
30000,1.3944169,0.9821739,130.0,10.76996424794197,10.76996424794197,1.0
31000,1.3939642,1.2439803,127.875,12.145882055163383,12.145882055163383,1.0
32000,1.3932679,1.2052294,102.75,9.986501892407736,9.986501892407736,1.0
33000,1.3928823,1.7348228,91.53846153846153,12.235873023668924,12.235873023668924,1.0
34000,1.3917427,1.0992237,116.875,11.54752379655838,11.54752379655838,1.0
35000,1.3899435,1.8791033,88.4,10.914078322323887,10.914078322323887,1.0
36000,1.3898661,1.7940857,116.55555555555556,12.476870357990265,12.476870357990265,1.0
37000,1.3894571,1.9185456,106.6,11.677393817901612,11.677393817901612,1.0
38000,1.3891239,2.223897,113.44444444444444,13.89348570505778,13.89348570505778,1.0
39000,1.388137,2.4962795,101.375,12.603837490081787,12.603837490081787,1.0
40000,1.3878062,2.0025244,106.5,13.084560680389405,13.084560680389405,1.0
41000,1.3865396,2.717348,100.375,15.04555786980523,15.04555786980523,1.0
42000,1.3858924,2.577745,104.38461538461539,12.965832471847534,12.965832471847534,1.0
43000,1.383504,2.6995168,82.125,12.280162334442139,12.280162334442139,1.0
44000,1.3834656,2.4146621,135.3,14.704578944614955,14.704578944614955,1.0
45000,1.383566,2.7821138,70.625,12.410624590787021,12.410624590787021,1.0
46000,1.383566,2.9115055,78.23076923076923,12.061531470372127,12.061531470372127,1.0
47000,1.3828778,2.9885068,89.0909090909091,12.483058279210871,12.483058279210871,1.0
48000,1.3824303,3.754027,78.23076923076923,13.495440556452824,13.495440556452824,1.0
49000,1.3821975,3.123221,91.2,12.498182080008768,12.498182080008768,1.0
50000,1.3820102,3.5843215,69.6923076923077,11.695343787853535,11.695343787853535,1.0
