Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
1000,1.4189385,0.15738262,-7.5071140942163765,595.0,-7.507114440202713
2000,1.4189384,0.1293526,-1.2591322669177316,595.0,-1.259132206439972
3000,1.4173898,0.23575577,3.8557309769967105,544.0,3.8557309210300446
4000,1.4173898,0.14594361,3.6575463622575626,595.0,3.6575463116168976
5000,1.4170117,0.39474782,7.540531434380682,595.0,7.540531896054745
6000,1.416916,0.3829918,-7.772478977373491,422.6666666666667,-7.772478471199672
7000,1.4163406,0.29006532,-8.101981085375883,595.0,-8.101981401443481
8000,1.4161384,0.31405216,2.7784992710803635,595.0,2.778498813509941
9000,1.4168651,0.26864108,-5.8017185875505675,595.0,-5.801718324422836
10000,1.4174368,0.5577461,5.386291950708255,457.0,5.386291801929474
11000,1.4167877,0.25224626,-0.9149284402374178,595.0,-0.9149289131164551
12000,1.4157721,0.52435625,5.396551514277235,371.75,5.396551705896854
13000,1.4149619,0.42863923,5.78795065137092,595.0,5.787950277328491
14000,1.4136943,0.39191324,8.956703602258736,449.0,8.956703424453735
15000,1.4135566,0.67004323,13.56447473357548,337.5,13.564474642276764
16000,1.4126842,0.32269797,4.337317942719285,297.0,4.337317893902461
17000,1.4126842,0.8371693,2.4391505351910987,442.6666666666667,2.4391503830750785
18000,1.4116571,0.8842503,12.248764553534178,312.6666666666667,12.24876489241918
19000,1.4116572,0.96918994,11.526262111670803,263.75,11.526262022554874
20000,1.4109563,1.6440574,10.849764304684609,148.71428571428572,10.849764347076416
21000,1.4108602,0.96779037,14.620274926691005,330.0,14.620275179545084
22000,1.4093474,1.9267565,18.292225451383274,241.0,18.292225241661072
23000,1.4088823,1.7024138,22.321503376791952,291.75,23.459333181381226
24000,1.4069549,2.0738418,11.797916083736345,144.2,12.982931594053904
25000,1.4061991,2.2770808,13.487972797166245,181.0,13.487972915172577
26000,1.4052504,2.7318861,14.949251125649814,155.28571428571428,15.250504851341248
27000,1.4043567,2.424211,13.028895244118758,123.625,11.68721529096365
28000,1.4039532,2.1482067,13.318531733322223,148.71428571428572,14.437540020261492
29000,1.4034882,2.691355,12.856170602453252,108.11111111111111,11.89214727613661
30000,1.4030403,2.3566284,15.669958007242531,161.8,17.178018450737
31000,1.4019278,2.711104,12.900824591025916,114.33333333333333,12.900824546813965
32000,1.4018044,2.019734,18.700327758298954,284.5,19.525799254576366
33000,1.4013422,2.887083,14.371881042568324,137.0,14.636457528386797
34000,1.4012492,2.908031,16.159376189888764,123.44444444444444,16.52150598168373
35000,1.400301,3.4369326,13.235060639344738,107.125,13.238092184066772
36000,1.400301,2.0180883,11.051305692177266,104.33333333333333,11.051305830478668
37000,1.3988718,3.134285,14.109990384924458,173.625,14.109990328550339
38000,1.3988718,3.466056,13.838807763322256,114.7,13.743371778064304
39000,1.3981358,3.4738405,12.87008892398444,97.25,13.07316083378262
40000,1.3981357,3.6795187,15.987699425383472,118.8,16.047765758302475
41000,1.3979557,3.524344,10.574208727095868,82.81818181818181,10.208924401890147
42000,1.3979319,3.9162815,19.38703645944285,150.83333333333334,19.398207545280457
43000,1.3973832,4.1215754,16.969822416188737,124.44444444444444,17.03021600842476
44000,1.3971958,3.8962655,14.17159053688455,107.66666666666667,14.722468111250135
45000,1.397208,3.3958046,13.804986338538583,106.375,13.552074882719252
46000,1.3972161,4.2294135,14.862537065893411,111.9,15.239243215984768
47000,1.3971473,4.1164126,15.313747737504956,107.33333333333333,14.491127345297071
48000,1.3970757,4.2924113,11.912490418477153,89.72727272727273,13.395100777799433
49000,1.3970674,3.9889727,14.67909135427326,104.9,13.859159636497498
50000,1.397053,4.678197,15.313858467723346,107.66666666666667,15.248566932148403
