Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,0.37017858,599.0,-20.674787878990173,-20.674787878990173,1.0
2000,1.4189383,0.62545645,599.0,-16.66390410065651,-16.66390410065651,1.0
3000,1.4189383,0.5795132,599.0,-16.89289367198944,-16.89289367198944,1.0
4000,1.4189385,0.32629836,599.0,-20.42049066722393,-20.42049066722393,1.0
5000,1.4189383,0.28377938,599.0,-21.78008008003235,-21.78008008003235,1.0
6000,1.4189383,0.4235161,599.0,-15.193105697631836,-15.193105697631836,1.0
7000,1.4189669,0.3525637,599.0,-20.669249951839447,-20.669249951839447,1.0
8000,1.4190077,-0.014247525,599.0,-14.858682431280613,-14.858682431280613,1.0
9000,1.4190077,-0.1075668,599.0,-24.103557109832764,-24.103557109832764,1.0
10000,1.4190075,-0.11173341,599.0,-12.672420978546143,-12.672420978546143,1.0
11000,1.4190077,-0.07961337,599.0,-21.777850687503815,-21.777850687503815,1.0
12000,1.4190077,-0.17362952,599.0,-17.053521901369095,-17.053521901369095,1.0
13000,1.4190075,-0.018026682,599.0,-19.072163105010986,-19.072163105010986,1.0
14000,1.4191493,-0.43774033,599.0,-17.156070604920387,-17.156070604920387,1.0
15000,1.419168,-0.3673127,599.0,-20.422420978546143,-20.422420978546143,1.0
16000,1.4191678,-0.22103617,599.0,-13.0005521774292,-13.0005521774292,1.0
17000,1.4191679,-0.30797237,441.0,-8.08162941535314,-8.08162941535314,1.0
18000,1.4191679,-0.54438794,599.0,-15.902289748191833,-15.902289748191833,1.0
19000,1.4191679,-0.34208238,512.3333333333334,-9.200682163238525,-9.200682163238525,1.0
20000,1.4191672,-0.45316273,363.5,-12.775910705327988,-12.775910705327988,1.0
21000,1.4191641,-0.7068762,599.0,-19.172013998031616,-19.172013998031616,1.0
22000,1.4191641,-0.77826416,599.0,-13.357891380786896,-13.357891380786896,1.0
23000,1.419164,-1.0331476,599.0,-12.981129482388496,-12.981129482388496,1.0
24000,1.4191641,-0.9542954,599.0,-20.53833532333374,-20.53833532333374,1.0
25000,1.4191641,-0.89494395,599.0,-19.935760498046875,-19.935760498046875,1.0
26000,1.419164,-0.84666955,599.0,-19.252915680408478,-19.252915680408478,1.0
27000,1.4191679,-0.8032357,599.0,-12.784333124756813,-12.784333124756813,1.0
28000,1.4191701,-1.023024,599.0,-14.41223669052124,-14.41223669052124,1.0
29000,1.4191703,-1.0432599,599.0,-19.45369279384613,-19.45369279384613,1.0
30000,1.4191701,-1.037558,599.0,-18.8888241648674,-18.8888241648674,1.0
31000,1.4191703,-0.82426155,599.0,-3.9996452033519745,-3.9996452033519745,1.0
32000,1.4191703,-1.0855443,599.0,-22.902915954589844,-22.902915954589844,1.0
33000,1.4191686,-0.9895811,427.3333333333333,-14.882958486676216,-14.882958486676216,1.0
34000,1.419145,-0.99228716,599.0,-7.31937837600708,-7.31937837600708,1.0
35000,1.4191449,-0.9501535,599.0,-13.470853298902512,-13.470853298902512,1.0
36000,1.4191447,-1.2486929,599.0,-22.03464126586914,-22.03464126586914,1.0
37000,1.419145,-1.3506165,599.0,-23.01184630393982,-23.01184630393982,1.0
38000,1.4191449,-1.1013942,599.0,-14.848429322242737,-14.848429322242737,1.0
39000,1.4191447,-1.2156931,599.0,-19.755312204360962,-19.755312204360962,1.0
40000,1.4191349,-1.2693921,599.0,-16.91789186000824,-16.91789186000824,1.0
41000,1.4191226,-1.2421533,599.0,-12.18719644472003,-12.18719644472003,1.0
42000,1.4191226,-1.5346915,599.0,-12.876770973205566,-12.876770973205566,1.0
43000,1.4191227,-1.4441013,599.0,-13.12347462773323,-13.12347462773323,1.0
44000,1.4191226,-1.3703843,599.0,-15.357784628868103,-15.357784628868103,1.0
45000,1.4191226,-1.2378615,486.0,-8.82545393705368,-8.82545393705368,1.0
46000,1.4191227,-1.2080104,599.0,-11.955007791519165,-11.955007791519165,1.0
47000,1.4191239,-1.2429067,599.0,-7.949119448661804,-7.949119448661804,1.0
48000,1.4191242,-1.3094792,599.0,-15.792933255434036,-15.792933255434036,1.0
49000,1.4191245,-1.4176481,599.0,-22.752399921417236,-22.752399921417236,1.0
50000,1.4191244,-1.5715413,599.0,-18.685410618782043,-18.685410618782043,1.0
