Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,0.11206393,599.0,-27.685290962457657,-27.685290962457657,1.0
2000,1.4189383,0.104099154,599.0,-19.380078554153442,-19.380078554153442,1.0
3000,1.4189383,0.11482413,599.0,-15.774831056594849,-15.774831056594849,1.0
4000,1.4189385,0.05304324,599.0,-15.981281980872154,-15.981281980872154,1.0
5000,1.4189383,-0.002688964,599.0,-9.799577429890633,-9.799577429890633,1.0
6000,1.4189383,0.092972115,599.0,-16.32177448272705,-16.32177448272705,1.0
7000,1.4189385,0.061347663,599.0,-21.48101818561554,-21.48101818561554,1.0
8000,1.4189383,0.13586286,599.0,-18.352482557296753,-18.352482557296753,1.0
9000,1.4189383,0.11541851,599.0,-21.59435248374939,-21.59435248374939,1.0
10000,1.4189385,-0.0049645295,599.0,-16.426106095314026,-16.426106095314026,1.0
11000,1.4189383,0.009137781,599.0,-15.053642138838768,-15.053642138838768,1.0
12000,1.4189383,0.1324126,599.0,-11.195598125457764,-11.195598125457764,1.0
13000,1.4189385,0.05584429,599.0,-20.103860199451447,-20.103860199451447,1.0
14000,1.4189383,0.21233237,599.0,-18.226674273610115,-18.226674273610115,1.0
15000,1.4189383,0.03768704,599.0,-27.29294264316559,-27.29294264316559,1.0
16000,1.4189385,0.025754068,599.0,-16.05266635119915,-16.05266635119915,1.0
17000,1.4191216,0.054841116,426.6666666666667,-5.76070507367452,-5.76070507367452,1.0
18000,1.4192616,-0.11701695,599.0,-17.23053550720215,-17.23053550720215,1.0
19000,1.4192617,-0.10661355,599.0,-19.53236424922943,-19.53236424922943,1.0
20000,1.4192617,-0.18634723,599.0,-26.41536784172058,-26.41536784172058,1.0
21000,1.4192615,-0.08486753,599.0,-17.708032965660095,-17.708032965660095,1.0
22000,1.4192617,-0.15203288,599.0,-8.276124116033316,-8.276124116033316,1.0
23000,1.4192618,-0.11882406,599.0,-17.147292256355286,-17.147292256355286,1.0
24000,1.4192615,-0.12818879,599.0,-18.567748188972473,-18.567748188972473,1.0
25000,1.4192617,-0.17966248,307.0,-15.584579308827719,-15.584579308827719,1.0
26000,1.4192617,-0.122359075,599.0,-26.571826696395874,-26.571826696395874,1.0
27000,1.4192617,-0.09400005,599.0,-11.414687037467957,-11.414687037467957,1.0
28000,1.4192615,-0.16041574,599.0,-26.137186110019684,-26.137186110019684,1.0
29000,1.4192618,-0.17160639,599.0,-20.0800704061985,-20.0800704061985,1.0
30000,1.4192617,-0.24501893,599.0,-9.371457427740097,-9.371457427740097,1.0
31000,1.4192615,-0.17914122,599.0,-24.902588486671448,-24.902588486671448,1.0
32000,1.4192617,-0.1901071,599.0,-12.198591336607933,-12.198591336607933,1.0
33000,1.4192547,-0.18894345,374.0,-10.231054306030273,-10.231054306030273,1.0
34000,1.4191116,-0.32757297,599.0,-18.171773970127106,-18.171773970127106,1.0
35000,1.4191115,-0.31290573,599.0,-16.41848623752594,-16.41848623752594,1.0
36000,1.4191114,-0.24327227,599.0,-16.08950984477997,-16.08950984477997,1.0
37000,1.4191116,-0.32487035,599.0,-7.6629980355501175,-7.6629980355501175,1.0
38000,1.4191116,-0.29899937,599.0,-8.816663980484009,-8.816663980484009,1.0
39000,1.4191114,-0.29714122,599.0,-15.857000470161438,-15.857000470161438,1.0
40000,1.4191116,-0.34327182,599.0,-15.845610111951828,-15.845610111951828,1.0
41000,1.4191115,-0.37702733,599.0,-11.620150804519653,-11.620150804519653,1.0
42000,1.4191115,-0.38788235,599.0,-20.123866736888885,-20.123866736888885,1.0
43000,1.4191116,-0.39582622,599.0,-18.17414739727974,-18.17414739727974,1.0
44000,1.4191115,-0.2671068,599.0,-29.158441305160522,-29.158441305160522,1.0
45000,1.4191114,-0.345935,599.0,-15.966055750846863,-15.966055750846863,1.0
46000,1.4191116,-0.341993,599.0,-13.258755564689636,-13.258755564689636,1.0
47000,1.4191115,-0.24544454,599.0,-18.90689969062805,-18.90689969062805,1.0
48000,1.4191114,-0.35885406,599.0,-21.45546054840088,-21.45546054840088,1.0
49000,1.4191116,-0.29285717,599.0,-20.702822849154472,-20.702822849154472,1.0
50000,1.419109,-0.3013671,599.0,-16.610697269439697,-16.610697269439697,1.0
