Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.3610333,6.29478,0.92043823,-4.3840356,0.26122946,0.26651788,0.87000567,0.0003,599.0,-14.62315747141838,-14.62315747141838,1.0
2000,1.4842856,13.845732,0.6033822,-12.282986,0.09846494,0.09582133,0.66049623,0.00029999999,599.0,-30.02159482240677,-30.02159482240677,1.0
3000,1.5244187,18.411106,0.6193867,-17.455067,0.10664511,0.09682489,0.49914196,0.00029999996,450.0,-30.424218505620956,-30.424218505620956,1.0
4000,1.5475844,21.497614,0.8221457,-20.48699,0.1903826,0.17406406,0.3660808,0.00029999999,599.0,-12.472271844744682,-12.472271844744682,1.0
5000,1.4809676,22.089478,0.5690094,-21.840305,0.12624349,0.11635001,0.26983976,0.00029999999,599.0,-22.543412029743195,-22.543412029743195,1.0
6000,1.4195162,21.57119,0.33807418,-22.04953,0.07111242,0.0632271,0.20180948,0.00029999999,599.0,-10.942510455846786,-10.942510455846786,1.0
7000,1.3057542,22.738695,0.25553817,-21.752512,0.050618857,0.047144704,0.15041518,0.00029999999,599.0,-12.71070297062397,-12.71070297062397,1.0
8000,1.2291548,21.262045,0.19816253,-21.181662,0.04431385,0.03771733,0.11217117,0.00029999999,331.0,-3.368158241113027,-3.368158241113027,1.0
9000,1.1032761,20.283651,0.67647237,-20.301714,0.2393147,0.23639305,0.0834339,0.00029999999,345.3333333333333,-11.032409116625786,-11.032409116625786,1.0
10000,0.93308073,18.809649,0.23319072,-19.031586,0.082569964,0.078905575,0.062245324,0.00029999999,599.0,-2.2268717139959335,-2.2268717139959335,1.0
11000,0.7739282,18.231464,0.16200227,-17.942375,0.060255636,0.058141362,0.046413124,0.00029999999,459.5,-1.4297769963741302,-1.4297769963741302,1.0
12000,0.4672431,17.026323,0.095568046,-17.140255,0.030946018,0.028730998,0.03479994,0.00029999999,599.0,-11.094063818454742,-11.094063818454742,1.0
13000,0.31986165,16.602962,0.09565511,-16.35959,0.030124264,0.028794056,0.025852662,0.0003,475.0,2.825279802083969,2.825279802083969,1.0
14000,0.20585471,15.669832,0.27626228,-15.816084,0.097232625,0.097176015,0.01926515,0.00029999999,207.42857142857142,6.891305046422141,6.891305046422141,1.0
15000,-0.23065966,14.900053,0.37846372,-15.199658,0.15043214,0.14968492,0.0145941805,0.00029999999,340.0,5.814828460415204,5.814828460415204,1.0
16000,-0.5373206,14.252549,0.42906624,-14.466311,0.18791202,0.18895254,0.011033349,0.00029999999,206.6,9.753150433301926,9.753150433301926,1.0
17000,-0.807837,13.623228,0.16613066,-13.647691,0.07028782,0.06808523,0.008325552,0.00029999999,210.4,5.412046693265438,5.412046693265438,1.0
18000,-0.85543185,13.082704,0.19988047,-13.06586,0.082558356,0.08044898,0.0063327197,0.00029999999,121.0,7.3349377401173115,7.3349377401173115,1.0
