Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
19000,-1.1562082,12.895599,0.2937217,-12.771126,0.1280641,0.12948205,0.0048185512,0.0003,403.5,9.069613939151168,9.069613939151168,1.0
20000,-1.2035941,11.6514845,0.1508926,-12.169499,0.0639221,0.0654868,0.0036416242,0.0003,427.6666666666667,-7.610893179972966,-7.610893179972966,1.0
21000,-1.5896165,11.259495,0.04785731,-11.176212,0.015782194,0.016935002,0.002727762,0.00029999999,599.0,-29.346257269382477,-29.346257269382477,1.0
22000,-1.6038368,11.174637,0.049130954,-10.731584,0.016798524,0.016995316,0.0020619454,0.00029999996,432.6666666666667,9.179029812415441,9.179029812415441,1.0
23000,-1.8179559,10.725601,0.048046183,-10.677623,0.018099703,0.018440321,0.001564975,0.00029999999,599.0,-1.9139162003993988,-1.9139162003993988,1.0
24000,-1.7284079,10.562997,0.097681865,-10.509205,0.038025923,0.03482415,0.0011773864,0.0003,203.33333333333334,11.292942201097807,11.292942201097807,1.0
25000,-2.0091386,10.244154,0.16137831,-10.3282995,0.068078324,0.067820884,0.0008880894,0.00029999999,301.25,2.141326032578945,2.141326032578945,1.0
26000,-2.0816262,9.6667795,0.0732843,-9.944775,0.029117377,0.029808644,0.00068215135,0.00029999999,424.0,16.266525954008102,16.266525954008102,1.0
27000,-2.2140484,9.496616,0.04458754,-9.52193,0.015968611,0.016729975,0.00053653953,0.0003,221.4,9.964067625999451,9.964067625999451,1.0
28000,-2.601975,9.076794,0.07704638,-9.353214,0.029781269,0.02796117,0.00042252248,0.00029999996,599.0,3.2899121791124344,3.2899121791124344,1.0
29000,-2.5349278,8.905897,0.033519547,-9.039377,0.011601325,0.012056548,0.00034205028,0.00029999996,599.0,1.1921061128377914,1.1921061128377914,1.0
30000,-2.2642145,8.146368,0.012178084,-8.718317,0.003833218,0.003921455,0.0002734855,0.00029999996,333.0,-0.351097305615743,-0.351097305615743,1.0
31000,-2.5879397,8.854439,0.038778745,-8.396572,0.012279154,0.01249169,0.00021827134,0.00029999999,599.0,10.786790356040001,10.786790356040001,1.0
32000,-2.650363,8.709321,0.017370678,-8.492572,0.005707681,0.0059447116,0.00017174771,0.00029999996,385.6666666666667,4.0021108239889145,4.0021108239889145,1.0
33000,-2.8824773,8.251108,0.03734323,-8.386138,0.013940509,0.013877469,0.00012778687,0.00029999996,510.6666666666667,0.8410019129514694,0.8410019129514694,1.0
34000,-2.9320488,8.652885,0.028141918,-8.2620735,0.011516132,0.0116187995,0.00010195934,0.00029999996,599.0,-5.290868813171983,-5.290868813171983,1.0
35000,-3.3224735,7.2545414,0.011210616,-7.9166813,0.003488772,0.0035682754,8.553896e-05,0.00029999996,363.0,-2.7277656234800816,-2.7277656234800816,1.0
36000,-3.3427522,7.624054,0.025894519,-7.6139793,0.009928948,0.009659911,7.012213e-05,0.0003,195.8,4.886742765704791,4.886742765704791,1.0
37000,-3.3307164,7.4363546,0.0328834,-7.1806297,0.01241156,0.012430216,6.100177e-05,0.00029999996,599.0,7.660721871256828,7.660721871256828,1.0
38000,-3.210584,7.012999,0.01727872,-7.1559873,0.006461592,0.0063365954,5.6368484e-05,0.00029999996,197.33333333333334,-3.2316317508618035,-3.2316317508618035,1.0
39000,-3.1605768,6.8636694,0.029138811,-6.83243,0.010455406,0.010580604,5.9635484e-05,0.00029999996,282.75,8.458624351024628,8.458624351024628,1.0
40000,-2.5748181,7.094275,None,None,None,None,None,None,None,6.903753638267517,6.903753638267517,1.0
41000,-2.8101468,6.353765,0.029209703,-6.741559,0.010632974,0.010412281,6.407563e-05,0.00029999996,147.71428571428572,10.620584681630135,10.620584681630135,1.0
42000,-3.1886692,6.5889106,0.02857583,-6.750038,0.01022389,0.009936682,5.612688e-05,0.00029999993,70.85714285714286,10.134255621168348,10.134255621168348,1.0
43000,-3.6702986,6.875289,0.03491547,-6.5936604,0.012425837,0.012637471,5.7606252e-05,0.00029999999,257.0,14.959347367286682,14.959347367286682,1.0
44000,-3.4785109,6.5809083,0.04150388,-6.674341,0.016023407,0.015667252,6.400653e-05,0.00029999999,156.83333333333334,11.082149535417557,11.082149535417557,1.0
45000,-3.5628557,6.7942753,0.033135287,-6.6666164,0.012218704,0.011848731,7.097727e-05,0.00029999996,121.6,14.583466013272604,14.583466013272604,1.0
46000,-3.3633442,6.4273825,0.03624602,-6.707786,0.013437488,0.012908834,9.135801e-05,0.00029999996,161.0,9.037515714764595,9.037515714764595,1.0
47000,-3.4632847,6.778979,0.028982759,-6.653204,0.010709985,0.010431613,0.000107231564,0.00029999999,162.5,11.145029862721762,11.145029862721762,1.0
48000,-3.3834412,7.0650654,0.034905393,-6.952151,0.013478965,0.013580476,0.00010853898,0.00029999996,118.25,12.702055254152842,12.702055254152842,1.0
49000,-2.9687328,6.8693175,0.0489644,-7.108062,0.019593567,0.019639371,0.00010774276,0.00029999996,67.92857142857143,9.271949050823848,9.271949050823848,1.0
50000,-3.4163084,6.7855983,0.0433849,-6.947637,0.017385997,0.016874658,0.000114839386,0.00029999999,77.92307692307692,10.409525776425234,10.409525776425234,1.0
