Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,1.4189385,-0.16417196,599.0,-16.47272503376007,-16.47272503376007,1.0
2000,1.4189383,-0.35346916,464.6666666666667,-12.199066678682962,-12.199066678682962,1.0
3000,1.4189384,-0.24442449,599.0,-23.888839721679688,-23.888839721679688,1.0
4000,1.4189383,-0.3463865,599.0,-16.122744143009186,-16.122744143009186,1.0
5000,1.4189385,-0.10399391,599.0,-14.475765630602837,-14.475765630602837,1.0
6000,1.4189384,-0.09574382,599.0,-20.725712299346924,-20.725712299346924,1.0
7000,1.4189383,-0.0946766,599.0,-19.561633467674255,-19.561633467674255,1.0
8000,1.4189385,-0.018251326,599.0,-18.2480850815773,-18.2480850815773,1.0
9000,1.4189384,-0.14059165,599.0,-20.38745880126953,-20.38745880126953,1.0
10000,1.4188772,-0.17132619,599.0,-18.61629295349121,-18.61629295349121,1.0
11000,1.4188099,-0.3889712,599.0,-15.745057344436646,-15.745057344436646,1.0
12000,1.4188099,-0.6014705,464.5,-2.9802650958299637,-2.9802650958299637,1.0
13000,1.41881,-0.4768682,599.0,-13.7105073928833,-13.7105073928833,1.0
14000,1.4188098,-0.3669498,599.0,-16.809669494628906,-16.809669494628906,1.0
15000,1.4188099,-0.4845316,599.0,-20.39101016521454,-20.39101016521454,1.0
16000,1.4188099,-0.41021577,599.0,-12.227645635604858,-12.227645635604858,1.0
17000,1.4188098,-0.5112475,599.0,-14.512947633862495,-14.512947633862495,1.0
18000,1.4188098,-0.5851937,599.0,-28.17449927330017,-28.17449927330017,1.0
19000,1.4188099,-0.38595596,599.0,-18.664308816194534,-18.664308816194534,1.0
20000,1.4187686,-0.6328333,599.0,-20.88816586881876,-20.88816586881876,1.0
21000,1.4187564,-0.6241926,599.0,-20.225058019161224,-20.225058019161224,1.0
22000,1.4187564,-0.6533445,599.0,-27.851917266845703,-27.851917266845703,1.0
23000,1.4187564,-0.70718646,599.0,-10.76260007172823,-10.76260007172823,1.0
24000,1.4187565,-0.7338575,599.0,-18.861368402838707,-18.861368402838707,1.0
25000,1.4187564,-0.7039322,599.0,-14.4285808801651,-14.4285808801651,1.0
26000,1.4187564,-0.73508924,599.0,-22.653696060180664,-22.653696060180664,1.0
27000,1.4187565,-0.57828754,599.0,-16.590740114450455,-16.590740114450455,1.0
28000,1.4187564,-0.7360798,599.0,-30.5151629447937,-30.5151629447937,1.0
29000,1.4187518,-0.720615,599.0,-17.358061134815216,-17.358061134815216,1.0
30000,1.4187343,-0.9645644,599.0,-20.913921236991882,-20.913921236991882,1.0
31000,1.4187342,-1.0554869,599.0,-22.921252727508545,-22.921252727508545,1.0
32000,1.4187343,-0.93037003,599.0,-22.373106837272644,-22.373106837272644,1.0
33000,1.4187343,-0.88219345,599.0,-17.72442090511322,-17.72442090511322,1.0
34000,1.4187342,-0.9121455,599.0,-21.023285388946533,-21.023285388946533,1.0
35000,1.4187342,-0.85721564,599.0,-15.843736127018929,-15.843736127018929,1.0
36000,1.4187343,-0.951931,599.0,-22.041474521160126,-22.041474521160126,1.0
37000,1.4187342,-0.8199507,599.0,-10.599658846855164,-10.599658846855164,1.0
38000,1.4187342,-1.0625893,599.0,-14.65376701951027,-14.65376701951027,1.0
39000,1.4187169,-1.0451261,599.0,-11.176148906350136,-11.176148906350136,1.0
40000,1.4187057,-1.1262673,599.0,-5.519566237926483,-5.519566237926483,1.0
41000,1.4187058,-1.196491,599.0,-13.144930064678192,-13.144930064678192,1.0
42000,1.4187056,-1.1419033,599.0,-16.198991268873215,-16.198991268873215,1.0
43000,1.4187057,-0.9205026,599.0,-12.562125623226166,-12.562125623226166,1.0
44000,1.4187058,-0.8828924,599.0,-12.000220596790314,-12.000220596790314,1.0
45000,1.4187056,-1.1242732,599.0,-17.648052275180817,-17.648052275180817,1.0
46000,1.4187057,-1.1569912,599.0,-18.73730605840683,-18.73730605840683,1.0
47000,1.4187058,-1.1078961,599.0,-9.024812996387482,-9.024812996387482,1.0
48000,1.4187056,-1.0392828,599.0,-14.670160979032516,-14.670160979032516,1.0
49000,1.4186994,-1.2508007,599.0,-16.691060066223145,-16.691060066223145,1.0
50000,1.4186991,-1.1191392,599.0,-18.700662463903427,-18.700662463903427,1.0
